text,label
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
This is Cyber Crime Branch calling. Your name came up in a human trafficking investigation.,fake_cbi
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
Your Paytm account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Can you pick up some groceries on your way back home?,safe
Your Aadhaar card was used to open 5 bank accounts for money laundering. You must transfer a security deposit of Rs 10 lakh.,digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
This is Enforcement Directorate calling. Your name came up in a human trafficking investigation.,fake_cbi
Your Axis Bank account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Sir, we need to record your statement on video call for the Customs Department investigation.",fake_cbi
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
Congratulations! You have won a lottery of Rs 2 lakh. Click the link to claim your prize.,phishing
"Sir, we need to record your statement on video call for the Enforcement Directorate investigation.",fake_cbi
"Hey man, what time are we meeting for dinner tonight?",safe
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
"Hi, I'm calling from Amazon regarding your order. I am at the gate.",safe
This is PhonePe customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"Hey man, what time are we meeting for dinner tonight?",safe
"To verify your accounts, please send 10 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hi, I'm calling from BlueDart regarding your order. I am at the gate.",safe
You have to pay a penalty of 50 rupees immediately to close the Customs Department case against you.,fake_cbi
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
"We noticed unusual activity on your SBI account. To stop the transaction, please provide the 6-digit OTP.",phishing
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Sir, we need to record your statement on video call for the Customs Department investigation.",fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Sir, we need to record your statement on video call for the Cyber Crime Branch investigation.",fake_cbi
"Hello, this is HDFC customer service. How can I help you today?",safe
"Hi, I'm calling from Swiggy regarding your order. I am at the gate.",safe
"Hello, this is Officer Sharma from Cyber Crime Branch. We have intercepted a package in your name containing counterfeit currency.",digital_arrest
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
This is ICICI customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Can you pick up some groceries on your way back home?,safe
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
